التاريخ,نوع التحصيل,شركة الشحن,المبلغ المحصل (جم),عدد الشحنات,حالة التحصيل,إيصال التحصيل,,,,,,,,,,,,,,
25/12/24,شركة شحن أوفرسايز,"3434 24/12/2025 من الشركة للعميل 29,410.00",EGP 29٬410٫00,,,,,,,,,,,,,,,,,
25/12/25,شركة شحن أوفرسايز,"3458 25/12/2025 من الشركة للعميل 20,075.00",EGP 20٬075٫00,,,,,,,,,,,,,,,,,
25/12/27,شركة شحن أوفرسايز,"3490 27/12/2025 من الشركة للعميل 4,690.00",EGP 4٬690٫00,,,,,,,,,,,,,,,,,
25/12/28,شركة شحن عايدة,"3519 28/12/2025 من الشركة للعميل 39,985.00",EGP 39٬985٫00,,,,,,,,,,,,,,,,,
25/12/29,شركة شحن عايدة,"3554 29/12/2025 من الشركة للعميل 40,295.00",EGP 40٬295٫00,,,,,,,,,,,,,,,,,
25/12/30,شركة شحن عايدة,"3571 30/12/2025 من الشركة للعميل 59,970.00",EGP 59٬970٫00,,,,,,,,,,,,,,,,,
25/12/31,شركة شحن عايدة,"3609 31/12/2025 من الشركة للعميل 54,250.00",EGP 54٬250٫00,,,,,,,,,,,,,,,,,
26/01/01,شركة شحن عايدة,"3636 01/01/2026 من الشركة للعميل 66,935.00",EGP 66٬935٫00,,,,,,,,,,,,,,,,,
26/01/03,شركة شحن عايدة,"3664 03/01/2026 من الشركة للعميل 47,950.00",EGP 47٬950٫00,,,,,,,,,,,,,,,,,
26/01/04,شركة شحن عايدة,"3680 04/01/2026 من الشركة للعميل 36,340.00",EGP 36٬340٫00,,,,,,,,,,,,,,,,,
25/12/28,شركة شحن أوفرسايز,"3518 28/12/2025 من الشركة للعميل 20,390.00",EGP 20٬390٫00,,,,,,,,,,,,,,,,,
25/12/29,شركة شحن أوفرسايز,"3553 29/12/2025 من الشركة للعميل 20,285.00",EGP 20٬285٫00,,,,,,,,,,,,,,,,,
25/12/30,شركة شحن أوفرسايز,"3572 30/12/2025 من الشركة للعميل 20,070.00",EGP 20٬070٫00,,,,,,,,,,,,,,,,,
25/12/31,شركة شحن أوفرسايز,"3610 31/12/2025 من الشركة للعميل 15,805.00",EGP 15٬805٫00,,,,,,,,,,,,,,,,,
26/01/01,شركة شحن أوفرسايز,"3637 01/01/2026 من الشركة للعميل 13,255.00",EGP 13٬255٫00,,,,,,,,,,,,,,,,,
26/01/03,شركة شحن أوفرسايز,"3665 03/01/2026 من الشركة للعميل 9,495.00",EGP 9٬495٫00,,,,,,,,,,,,,,,,,
26/01/04,شركة شحن أوفرسايز,"3681 04/01/2026 من الشركة للعميل 8,645.00",EGP 8٬645٫00,,,,,,,,,,,,,,,,,
